antropologija,arheologija,istorija,lingvistika,psihologija,biologija,biomedicina,geografija,geologija,hemija,astronomija,fizika,matematika
2.1,3.2,1.45,2.96,2.94,3.4,3.46,1.65,2.15,3.47,2.56,5,3.22
2,2,1,1,2,5,5,1,2,4,3,4,4
1,3.14,1.1,2,4.5,5,4.8,1.05,1.8,3,2.3,2.5,4.7
3,5,3,5,2,2,2,3,3,3,2,2,3
1,4,5,2,3,2,1,2,2,1,5,5,5
3.4,4.6,4.03,3,4.58,2.22,1.6,3.34,,1.23,4.78,4.86,4.88
4,3,3,2,5,4,5,2,1,4,4,2,4
1.5,1,1.6,3.5,3.4,3.9,4.1,3.8,1.1,4,2.5,3.4,4.5
4.97,4.93,4.95,4.98,4.96,4.94,4.99,1.7,1.5,2,1.4,1.1,4.92
4.4,4.38,3,4.8,5,4.24,4.79,3.5,2,4.4,4.7,3.37,4.59
2.47,3.9,2.2,1,4.1,5,4.9,1.1,1.2,3.7,4,2,1.8
4.3,2.1,1.19,1,3.13,5,4.5,3.2,2.11,3.01,5,5,4.2
2.1,2.7,1.82,3.65,3.97,3.2,3.21,3.88,2.12,3.4,4.36,4.62,4.81
3,4,4,1,1,4,5,4,4,5,5,5,5
4.2,4,3,3.6,4.9,4.79,4.87,1,1,4.76,3.4,3.5,3.2
1.2,1.3,3.4,1.1,3.9,4.81,4.9,3,1,4.3,4.67,4.8,3.4
5,5,5,5,5,5,5,3,2,1,5,5,1
3.23,3.76,2.33,1.89,3.45,4.37,4.07,2.44,2.76,2.68,4.12,4.34,4.48
3,4,3,5,5,2,1,4,4,1,5,3,3
2,3,4,1,4,2,2,2,1,1,4,4,4
4.76,4.2,4.75,4.95,4.87,1.414213562,1.23,4.18,3.69,4.12,4.0001,3.1412,2
3.56,3.28,2.12,2.25,4.15,4.03,4.14,2.65,2.07,4.22,4.56,4.52,4.98
2.43,2,1.2,3.75,3,2.52,1.3,1,1.1,1.05,3.24,3.5,3.86
3.5,4,3.2,2,3.4,4.5,5,2,2.3,3,2,3.3,1
4,5,3,3,3,2,3,3,4,4,4,2,1
2,1.5,2.5,2.5,4.8,3.7,3.2,4.2,3.8,2.6,4.5,4,4.5
3,4.01,3.99,4.82,3.65,3.76,3.4,4.012,4.34,3.001,5,4.95,3.92
3,3.4,2.2,2,4,3.5,4,2,2,1.9,4,4,2.7
,3,4,4.7,4.2,5,5,2,1,4.5,4.5,5,3
4.5,1,1,4,5,4,3,2,1,2.345,4.67,5,4.9
